AustralianPort,ForeignPort,Passengers_Total,Year,Month_num,Route
Brisbane,Honolulu,332,1985,2,Brisbane → Honolulu
Brisbane,Kuala Lumpur,91,1985,2,Brisbane → Kuala Lumpur
Brisbane,London,1958,1985,2,Brisbane → London
Brisbane,Los Angeles,57,1985,2,Brisbane → Los Angeles
Brisbane,Manila,1850,1985,2,Brisbane → Manila
Brisbane,Muscat,3,1985,2,Brisbane → Muscat
Brisbane,Nadi,946,1985,2,Brisbane → Nadi
Brisbane,Noumea,417,1985,2,Brisbane → Noumea
Brisbane,Port Moresby,2859,1985,2,Brisbane → Port Moresby
Brisbane,Port Vila,309,1985,2,Brisbane → Port Vila
Brisbane,Rome,97,1985,2,Brisbane → Rome
Brisbane,San Francisco,487,1985,2,Brisbane → San Francisco
Brisbane,Singapore,3234,1985,2,Brisbane → Singapore
Brisbane,Suva,141,1985,2,Brisbane → Suva
Brisbane,Tokyo,661,1985,2,Brisbane → Tokyo
Brisbane,Vancouver,175,1985,2,Brisbane → Vancouver
Brisbane,Wellington,1111,1985,2,Brisbane → Wellington
Cairns,Honolulu,431,1985,2,Cairns → Honolulu
Cairns,Los Angeles,22,1985,2,Cairns → Los Angeles
Cairns,Port Moresby,1132,1985,2,Cairns → Port Moresby
Cairns,San Francisco,537,1985,2,Cairns → San Francisco
Cairns,Vancouver,139,1985,2,Cairns → Vancouver
Darwin,Auckland,226,1985,2,Darwin → Auckland
Darwin,Bahrain,3,1985,2,Darwin → Bahrain
Darwin,Bandar Seri Begawan,494,1985,2,Darwin → Bandar Seri Begawan
Darwin,Bombay,4,1985,2,Darwin → Bombay
Darwin,Denpasar,882,1985,2,Darwin → Denpasar
Darwin,Frankfurt,24,1985,2,Darwin → Frankfurt
Darwin,Jakarta,92,1985,2,Darwin → Jakarta
Darwin,London,146,1985,2,Darwin → London
Darwin,Rome,31,1985,2,Darwin → Rome
Darwin,Singapore,1135,1985,2,Darwin → Singapore
Hobart,Christchurch,1363,1985,2,Hobart → Christchurch
Melbourne,Abu Dhabi,44,1985,2,Melbourne → Abu Dhabi
Melbourne,Amsterdam,1326,1985,2,Melbourne → Amsterdam
Melbourne,Athens,3060,1985,2,Melbourne → Athens
Melbourne,Auckland,10592,1985,2,Melbourne → Auckland
Melbourne,Bahrain,94,1985,2,Melbourne → Bahrain
Melbourne,Bandar Seri Begawan,108,1985,2,Melbourne → Bandar Seri Begawan
Melbourne,Bangkok,3488,1985,2,Melbourne → Bangkok
Melbourne,Beijing,974,1985,2,Melbourne → Beijing
Melbourne,Belgrade,1852,1985,2,Melbourne → Belgrade
Melbourne,Bombay,451,1985,2,Melbourne → Bombay
Melbourne,Christchurch,6198,1985,2,Melbourne → Christchurch
Melbourne,Colombo,320,1985,2,Melbourne → Colombo
Melbourne,Denpasar,4532,1985,2,Melbourne → Denpasar
Melbourne,Dubai,85,1985,2,Melbourne → Dubai
Melbourne,Frankfurt,2215,1985,2,Melbourne → Frankfurt
Melbourne,Hong Kong,9326,1985,2,Melbourne → Hong Kong
Melbourne,Honolulu,2545,1985,2,Melbourne → Honolulu
Melbourne,Houston,25,1985,2,Melbourne → Houston
Melbourne,Jakarta,1093,1985,2,Melbourne → Jakarta
Melbourne,Kuala Lumpur,3942,1985,2,Melbourne → Kuala Lumpur
Melbourne,London,4573,1985,2,Melbourne → London
Melbourne,Los Angeles,3322,1985,2,Melbourne → Los Angeles
Melbourne,Manchester,662,1985,2,Melbourne → Manchester
Melbourne,Manila,3301,1985,2,Melbourne → Manila
Melbourne,Muscat,270,1985,2,Melbourne → Muscat
Melbourne,Nadi,2270,1985,2,Melbourne → Nadi
Melbourne,Nauru,192,1985,2,Melbourne → Nauru
Melbourne,New York,61,1985,2,Melbourne → New York
Melbourne,Noumea,65,1985,2,Melbourne → Noumea
Melbourne,Papeete,599,1985,2,Melbourne → Papeete
Melbourne,Port Vila,230,1985,2,Melbourne → Port Vila
Melbourne,Rome,2765,1985,2,Melbourne → Rome
Melbourne,San Francisco,1389,1985,2,Melbourne → San Francisco
Melbourne,Singapore,13275,1985,2,Melbourne → Singapore
Melbourne,Tokyo,512,1985,2,Melbourne → Tokyo
Melbourne,Vancouver,126,1985,2,Melbourne → Vancouver
Melbourne,Wellington,1812,1985,2,Melbourne → Wellington
Norfolk Island,Auckland,778,1985,2,Norfolk Island → Auckland
Perth,Auckland,3655,1985,2,Perth → Auckland
Perth,Bahrain,57,1985,2,Perth → Bahrain
Perth,Bangkok,1299,1985,2,Perth → Bangkok
Perth,Bombay,1075,1985,2,Perth → Bombay
Perth,Denpasar,5052,1985,2,Perth → Denpasar
Perth,Frankfurt,327,1985,2,Perth → Frankfurt
Perth,Harare,502,1985,2,Perth → Harare
Perth,Hong Kong,3818,1985,2,Perth → Hong Kong
Perth,Honolulu,26,1985,2,Perth → Honolulu
Perth,Jakarta,830,1985,2,Perth → Jakarta
Perth,Johannesburg,672,1985,2,Perth → Johannesburg
Perth,Kuala Lumpur,3749,1985,2,Perth → Kuala Lumpur
Perth,London,4903,1985,2,Perth → London
Perth,Mauritius,191,1985,2,Perth → Mauritius
Perth,Muscat,17,1985,2,Perth → Muscat
Perth,Rome,398,1985,2,Perth → Rome
